name,party,status,votes
M BABU,Independent,lost,306
B JAGAN,Independent,lost,285
AHMED RAASHID PALLIMIRA,Independent,lost,273
SHANMUGASUNDARAM,Independent,lost,251
C MADHAVAN,Independent,lost,202
T JOHNSON,Independent,lost,174
E RAJKUMAR,Independent,lost,133
C RAMACHANDHIRAN,Independent,lost,130
SHIVRAJ SINGH CHOUHAN,Bharatiya Janata Party,won,1116460
PRATAPBHANU SHARMA,Indian National Congress,lost,295052
KISHAN LAL LADIYA,Bahujan Samaj Party,lost,10816
NOTA,None of the Above,,9280
KAMLESH KUMAR GOUR,Jai Prakash Janata Dal,lost,8178
DHOOLSINGH DHAMMA,Independent,lost,3424
SATYENDRA SINGH SISODIYA,Independent,lost,2925
DHARMVIR BHARTI,Akhil Bhartiya Parivar Party,lost,2819
ABDUL RASHID,Independent,lost,1682
BHAI MUNSHILAL SILAWAT,Public Political Party,lost,1117
ABDUL JABBAR,Independent,lost,1082
SEEMA SHARMA,Sapaks Party,lost,1073
DHARMENDRA SINGH PANWAR (GOLU BHAIYA),Right to Recall Party,lost,1026
BHEEKAM SINGH KUSHWAHA,Mahanwadi Party,lost,724
KESINENI SIVANATH (CHINNI),Telugu Desam,won,794154
KESINENI SRINIVAS  (NANI),Yuvajana Sramika Rythu Congress Party,lost,512069
BHARGAV VALLURU,Indian National Congress,lost,24106
NOTA,None of the Above,,9193
KRISHNA KISHORE YANAMANDRA,Navataram Party,lost,7878
VENKATA ASHOK PAPPURI,Independent,lost,6672
DEVARAPALLI MALLIKARJUNA RAO (MAHESH),Independent,lost,3199
MEKA VENKATESWARA RAO,Bahujan Samaj Party,lost,2233
ANIL KUMAR MADDINENI,Independent,lost,1240
BARRE SREENIVASARAO (JAI BHEEM SRINIVAS),Telugu Rajadhikara Samiti Party,lost,615
SYED KHAMURUNNISA,Navarang Congress Party,lost,601
CHAGANTIPATI GANGADHAR GANDHI,Pyramid Party of India,lost,489
DATLA LURTHU MERI,Jaibhim Rao Bharat Party,lost,417
PERAM SIVA NAGESWARA RAO,Republican Party of India (Athawale),lost,368
DEVARASETTY RAVEENDRA BABU,Andhra Rastra Praja Samithi,lost,331
GUJJULA LALITHA,Socialist Unity Centre Of India (COMMUNIST),lost,327
N DASARADHA RAMI REDDY,All India Jaihind Party,lost,269
CHINTHALACHERUVU HEMALATHA,Jai Maha Bharath Party,lost,244
RAVIKUMAR. D,Viduthalai Chiruthaigal Katchi,won,477033
BHAGYARAJ. J,All India Anna Dravida Munnetra Kazhagam,lost,406330
MURALI SANKAR. S,Pattali Makkal Katchi,lost,181882
KALANCHIYAM. M,Naam Tamilar Katchi,lost,57242
NOTA,None of the Above,,8966
KARUNCHIRUTHAI KALIYAMURTHY. K,Bahujan Samaj Party,lost,3920
ARUMUGAM. M,United Republican Party of India,lost,3504
DHARMA. K,Independent,lost,2382
VIVEKANANDHAN. E,Independent,lost,1953
ARASAN. K,Independent,lost,1842
VIGNESVARAN. R,Independent,lost,1656
SURESH. S,Independent,lost,1397
PERIYAN. A,Independent,lost,1049
GUNASEKARAN. K,Independent,lost,963
VIJAYAN. A,Independent,lost,861
NAGARAJ. A,Independent,lost,674
SURESH. K,Independent,lost,598
SATHIYARAJ. N,Independent,lost,415
MANICKAM TAGORE B,Indian National Congress,won,385256
VIJAYAPRABHAKARAN V,Desiya Murpokku Dravida Kazhagam,lost,380877
RADIKAA R,Bharatiya Janata Party,lost,166271
KAUSHIK S,Naam Tamilar Katchi,lost,77031
NOTA,None of the Above,,9408
RAJESH,Independent,lost,6173
ASHOK KUMAR M,Bharatiya Praja Aikyata Party,lost,5293
SEKAR S,Hindu Samaj Party,lost,3446
MANIKANDAN M,Independent,lost,3346
MAYAK KANNAN,Independent,lost,2751
MAHENDRA RAMAKRISHNAN P,Independent,lost,2405
SURESH,Bahujan Samaj Party,lost,2397
SELVI K,Independent,lost,2188
PANDIYAMMAL R,Independent,lost,2133
SUDALAIMANI M,Independent,lost,1359
PALANICHAMY P,Bahujan Dravida Party,lost,1263
PALANISAMY K,Independent,lost,1257
VENKATESWARAN V K,Independent,lost,1247
SELVARAJAN V V,Independent,lost,1121
MARIEESWARI M,Independent,lost,1110
SANKARANARAYANAN N,Independent,lost,998
SELVAKUMAR M,Independent,lost,902
MUTHUKANNU C,Tamilaga Makkal Nala Katchi,lost,761
MARISELVAM S,All India People Development Party,lost,711
JEYARAJ T,Independent,lost,610
VEDHA @  DHAMODHARAN,Independent,lost,600
RAJAGOPAL S,Independent,lost,527
GANESHAMOORTHI G,Independent,lost,460
SRIBHARAT MATHUKUMILI,Telugu Desam,won,907467
JHANSI LAKSHMI. BOTCHA.,Yuvajana Sramika Rythu Congress Party,lost,403220
P. SATYA REDDY,Indian National Congress,lost,30267
K.A. PAUL,Praja Shanthi Party,lost,7696
PEDAPENKI SIVA PRASADA RAO,Bahujan Samaj Party,lost,6091
NOTA,None of the Above,,5313
BIKKAVOLU. CHALAMAJI,Navarang Congress Party,lost,4884
V.N. SATYA NARAYANA,Rashtriya Praja Congress  (Secular),lost,2537
ARUNA SRI MURALA,Independent,lost,1993
VASUPILLI SURESH,Independent,lost,1933
SONDI KRISHNA.,Independent,lost,1818
ANDUKURI VIJAYA BHASKAR,India Praja Bandhu Party,lost,1109
DR. GANAPATHI KONGARAPU.,Republican Party of India (A),lost,950
BANNA. RAMESH,Dalita Bahujana Party,lost,948
P. SATYA VANI,Pyramid Party of India,lost,882
DURGA PRASAD. GUNTU,Bhartiya Rashtriya Dal,lost,767
CHAPPIDI RAMU,Independent,lost,757
M.G.M. KHAN,Independent,lost,742
SHANKAR DEVARA YADAV,Independent,lost,661
VENU MADHAV KARRI,Independent,lost,647
DR. ACHUTHA BALAJI YADAV (MURAPALA),Bharatha Chaitanya Yuvajana Party,lost,638
THOTA VENKATA SAI MUKUND,Praja Prasthanam Party,lost,633
PIDIDHI APPARAO,Independent,lost,580
G.A.N. ANAND,Independent,lost,543
VADDI. HARI GANESH,Independent,lost,520
JANARDHAN PONNADA.,Independent,lost,500
GANAPATHI. JAGADEESWARA RAO (JAGADEESH),Jai Maha Bharath Party,lost,500
JALADI VIJAYA KUMARI,Samajwadi Party,lost,466
CHINTADA SURYAM,Naba Bharata Nirmana Seva Party,lost,448
GANDIKOTA RAJESH,Navataram Party,lost,393
KOLLI NAGA RAJU,Independent,lost,329
METTA RAMA RAO,Independent,lost,326
LAGUDU. GOVINDA RAO,Independent,lost,294
MALLA SRAVANI,Independent,lost,273
APPALANAIDU KALISETTI,Telugu Desam,won,743113
BELLANA CHANDRASEKHAR,Yuvajana Sramika Rythu Congress Party,lost,493762
