name,party,status,votes
C. SRIDHAR,Independent,lost,307
T. MANOHARAN,Independent,lost,293
K. SAMPATH,Independent,lost,269
D. SRINIVASAN,Independent,lost,261
S. RAVIKUMAR,Republican Party of India  (Sivaraj),lost,259
T. KAVIYARASU,Independent,lost,252
SATHISH. B,Independent,lost,246
D. KABILAN,Independent,lost,209
R.VINAYAGAMOORTHY,Independent,lost,206
P. MARIMUTHU,Independent,lost,172
V.MADHAN MOHAN,Independent,lost,163
T.SUMATHY (ALIAS) THAMIZHACHI THANGAPANDIAN,Dravida Munnetra Kazhagam,won,516628
DR.TAMILISAI SOUNDARARAJAN,Bharatiya Janata Party,lost,290683
DR.J.JAYAVARDHAN,All India Anna Dravida Munnetra Kazhagam,lost,172491
S.TAMILCHELVI,Naam Tamilar Katchi,lost,83972
NOTA,None of the Above,,15653
M.G.RAMU,Jebamani Janata,lost,3534
M.AZARUTHEEN,Independent,lost,1812
G.P. ROBERT,Bahujan Samaj Party,lost,1599
R.RAVICHANDRAN,Independent,lost,835
S.MANIMARAN,Independent,lost,803
FARMER JAYARAMAN. S.K.J,Desiya Makkal Sakthi Katchi,lost,792
A.K.D. ELLAPPAN,Mahathma Makkal Munnetra Kazhakam,lost,761
K.KANNAN,Independent,lost,625
BALAJI. G. MANGADU,Aravor Munnetra Kazhagam,lost,589
R.KANCHANA,Tamizhaga Murpokku Makkal Katchi,lost,566
KUTTIMANI. S,Veerath Thiyagi Viswanathadoss Thozhilalarkal Katchi,lost,565
SASI REKHA,Naadaalum Makkal Katchi,lost,559
P. SATHEESH KUMAR,Independent,lost,521
P.SEKAR,Thakkam Katchi,lost,435
R.YOGESHWARAN,Independent,lost,426
J. SATHISH,Independent,lost,418
V.P. RAVIKKARAN,Independent,lost,373
A.PONNUDURAI,Independent,lost,362
N.V.DAMODARAN,National Maha Sabha Party,lost,343
M.MUNUSWAMY,Viro Ke Vir Indian Party,lost,330
KARTHIK MURTHY,Independent,lost,315
V.P.SURESH,Independent,lost,289
E.RAMESH,Independent,lost,270
R.BALAJI,Independent,lost,264
DINESH KUMAR. B,Independent,lost,253
A.BABU,Independent,lost,246
DAYALAN. R,Independent,lost,242
VIJIRATHINAM. M,Independent,lost,237
V.SIVAKUMAR,Independent,lost,217
MURUGAN. P,Independent,lost,182
G.RAMESHBABU,Independent,lost,179
S.RAJASEKARAN,Independent,lost,178
N.NARAYANASWAMY,Independent,lost,175
R.DEVENDRAN,Independent,lost,168
PARTHIBAN. S,Independent,lost,166
I. DAVIDSINGH,Independent,lost,151
E RAVENDRAN,Independent,lost,114
BUNTY VIVEK SAHU,Bharatiya Janata Party,won,644738
NAKUL KAMALNATH,Indian National Congress,lost,531120
DEVIRAM URF DEV RAVEN BHALAVI,Gondvana Gantantra Party,lost,55988
UMAKANT BANDEWAR,Bahujan Samaj Party,lost,11823
NOTA,None of the Above,,9903
KAPIL SONI,Rashtriya Gondvana Party,lost,9638
SIRAJ SHEKH,Independent,lost,9568
PAWANSHAH SARYAM,Independent,lost,6621
SUBHASH SHUKLA,Independent,lost,5769
RAJENDRA DONGRE,Independent,lost,4632
GOVIND BHALAVI,Independent,lost,4029
MOHD. PARVEZ QURESHI,Independent,lost,3828
AJAY BARKADE,Independent,lost,2495
KUSHWAHA RAJESH TANTRIK,Ahinsa Samaj Party,lost,1698
""" PRAKASH ALIAS BANTY "" PARTETI",Rashtra Samarpan Party,lost,1654
FOGAL BANSOD,Republican Party of India (A),lost,1323
THIRUMAAVALAVAN THOL,Viduthalai Chiruthaigal Katchi,won,505084
CHANDRAHASAN M,All India Anna Dravida Munnetra Kazhagam,lost,401530
KARTHIYAYINI P,Bharatiya Janata Party,lost,168493
JANCIRANI R,Naam Tamilar Katchi,lost,65589
NOTA,None of the Above,,8761
NEELAMEGAM K,Bahujan Samaj Party,lost,3203
TAMILVENDHAN P,Independent,lost,3062
PERUMAL S,Independent,lost,2239
VETTRIVEL G,Independent,lost,2041
ARCHUNAN M A T,Independent,lost,1836
DHAMODHARAN S,Naadaalum Makkal Katchi,lost,1642
RATHA G,Independent,lost,1280
RAJAMANICKAM C,Independent,lost,1087
CHINNADURAI A,Independent,lost,638
ELAVARASAN C,Independent,lost,586
CHANDRA PRAKASH JOSHI,Bharatiya Janata Party,won,888202
ANJANA UDAILAL,Indian National Congress,lost,498325
BHIL ADIVASI MANGILAL NANAMA,Bharat Adivasi Party,lost,42811
RAMESHWAR LAL BAIRWA (INDORA),Independent,lost,9539
KUMAWAT RAMESH CHANDRA,Independent,lost,8842
MEGHWAL RADHESHYAM,Bahujan Samaj Party,lost,8613
SHYAM LAL MEGHWAL,Independent,lost,7907
BAPU LAL ANJANA,Independent,lost,7846
NOTA,None of the Above,,5590
PRAKASH DHAKAR,Ekam Sanatan Bharat Dal,lost,3925
PRATAP SINGH,Independent,lost,3347
AZAD PRAKASH CHANDRA MEGHWAL,Akhil Bharatiya Congress Dal (Ambedkar),lost,2777
JOGENDRA SINGH HODA,Independent,lost,2302
GAJENDRA,Independent,lost,1644
KALYAN SINGH BHATI,Independent,lost,1562
MAHAVIR PRASAD KUMAWAT,Right to Recall Party,lost,1549
KAMAL,Independent,lost,1498
MOHAMMAD WAHID KHAN,Pehchan People’s Party,lost,1228
SITA RAM AHIR,Vishva Shakti Party,lost,1226
RAHUL KASWAN,Indian National Congress,won,728211
DEVENDRA JHAJHARIA,Bharatiya Janata Party,lost,655474
DEIRAM MEGHWAL,Bahujan Samaj Party,lost,11271
NOTA,None of the Above,,6656
RAMESH KUMAR,Independent,lost,5724
GOMATI DHARAMPAL KATARIA,Bharat Rakshak Party (Democratic),lost,4961
SUKHDEV,Independent,lost,4559
RANVEER SINGH,Independent,lost,1812
BISAN SINGH,Independent,lost,1644
YUSUF ALI KHAN,Independent,lost,1230
DAULAT RAM PENSIA,National Janmandal Party,lost,1193
SHISHPAL SINGH RANA,Bheem Tribal Congress,lost,675
NIRANJAN SINGH RATHORE,Independent,lost,668
ASLAM LILGAR,Independent,lost,567
GANAPATHY RAJKUMAR P,Dravida Munnetra Kazhagam,won,568200
ANNAMALAI K,Bharatiya Janata Party,lost,450132
SINGAI G RAMACHANDRAN,All India Anna Dravida Munnetra Kazhagam,lost,236490
KALAMANI JAGANATHAN,Naam Tamilar Katchi,lost,82657
NOTA,None of the Above,,11788
VELMURUGAN K,Bahujan Samaj Party,lost,2375
SANJAYKUMAR S,Independent,lost,1789
ANNADURAI R,Independent,lost,1772
SURESH M,Independent,lost,1474
GOPALAKRISHNAN S,Independent,lost,1199
RAGHUL GANDHI K,Hindustan Janta Party,lost,1176
KARTHICK T,Independent,lost,1073
RAJKUMAR M,Independent,lost,1068
RAJKUMAR,Independent,lost,1013
RAJKUMAR G,Independent,lost,892
SHANMUGAM K,Independent,lost,882
KRISHNAN V,Independent,lost,726
RAMACHANDRAN M,Independent,lost,663
RAJAMANICKAM N,Independent,lost,629
RAJKUMAR G B,Independent,lost,611
KUMAR A,Ganasangam Party of India,lost,551
RICHARD VINCENT,Viro Ke Vir Indian Party,lost,492
SANGEETHA R,Naadaalum Makkal Katchi,lost,492
SURIYAKUMAR K,Independent,lost,447
ARUNKANTH V,Independent,lost,438
ANANDHAKUMAR S,Rashtriya Samaj Paksha,lost,419
RAMACHANDRAN R,Independent,lost,369
MUTHUSAMY P P,Independent,lost,369
PALANISAMYRAAJ M,Independent,lost,316
PUSHPANANTHAM V,Tamizhaga Murpokku Makkal Katchi,lost,305
DINESH K,Independent,lost,285
PREMKUMAR P,Independent,lost,283
RAVICHANDRAN,Independent,lost,272
DURAISAMY A,Independent,lost,266
ZAHIR HUSSAIN,Independent,lost,260
BOOBALAN,Independent,lost,253
NOORMUHAMAD A,Independent,lost,234
PASUPATHI S,Independent,lost,173
GODAM NAGESH,Bharatiya Janata Party,won,568168
ATHRAM SUGUNA,Indian National Congress,lost,477516
ATHRAM SAKKU,Bharat Rashtra Samithi,lost,137300
NOTA,None of the Above,,11762
MALOTHU SYAMLAL NAYAK,Alliance of Democratic Reforms Party,lost,7499
MESRAM JANGUBAPU,Bahujan Samaj Party,lost,6744
RATHOD SUBASH,Independent,lost,6528
BUKYA JAIVANTH RAO,Independent,lost,6446
CHAVAN SUDHARSHAN,Anna YSR Congress Party,lost,4644
GANGADEVI MESRAM,Dharma Samaj Party,lost,3468
N. TIRUPATI,Vidhyarthula Rajakiya Party,lost,2292
KODAPA VAMAN RAO,Gondwana Dandkaranya Party,lost,1685
GEDAM. SAGAR,India Praja Bandhu Party,lost,1545
PROF S P SINGH BAGHEL,Bharatiya Janata Party,won,599397
SURESH CHAND KARDAM,Samajwadi Party,lost,328103
POOJA AMROHI,Bahujan Samaj Party,lost,176474
NOTA,None of the Above,,7014
ARAM SINGH,Peoples Party of India (Democratic),lost,4143
KULDEEP KUMAR,Bharatiya Kisan Parivartan Party,lost,2002
MAHENDRA SINGH,Independent,lost,1785
POOJA,Independent,lost,1370
SARVESH KUMAR,Bharatiya Majdoor Janta Party,lost,1133
AMBEDAKARI HASANURAM AMBEDAKARI,Independent,lost,933
JITENDRA GAUTAM,Lokpriya Rashtrawadi Party,lost,782
CHANDRA PAL,Adarsh Samaj Party,lost,643
HASMUKHBHAI PATEL (H.S.PATEL),Bharatiya Janata Party,won,770459
HIMMATSINH PRAHLADSINH PATEL,Indian National Congress,lost,308704
NOTA,None of the Above,,10503
MAKWANA JAYANTIBHAI KANJIBHAI,Bahujan Samaj Party,lost,10482
BRIJESH SHARMA,Independent,lost,4526
HARSHAD BABUBHAI NANDOLIYA,Independent,lost,3571
MAHESHKUMAR SOMABHAI THAKOR,Independent,lost,3033
KALPESHBHAI  SHETE,Gunj Satya Ni Janata Party,lost,2937
PATANI VISHNUBHAI NATAVARBHAI,Independent,lost,2420
ZALA SANJAYKUMAR MAHOBATSINH,Independent,lost,2366
DASHARATHBHAI KANTILAL PANCHAL,Independent,lost,1480
PRAMOD SAHDEVBHAI GUDADE,Swatantrata Abhivyakti Party,lost,1279
RAJESH HARIRAM MAURYA,Prajatantra Aadhar Party,lost,1212
INGOLE ROOPESHBHAI BABUBHAI,Independent,lost,1169
DHANANJAY GIRJASHANKAR RAJPUT,Bhartiya Jan Parishad,lost,1120
MANISH KUMAR DUBEY,Swaraj Kranti Party,lost,909
CHAUHAN MOHAMADFARUK  AHEMADHASANBHAI,Independent,lost,778
HITENDRABHAI PATEL,Aadi Bharat Party,lost,742
PIYUSHBHAI BHAVSAR,Youth India Peace Party,lost,649
DINESHBHAI MAKWANA (ADVOCATE),Bharatiya Janata Party,won,611704
BHARAT YOGENDRA MAKWANA,Indian National Congress,lost,325267
NOTA,None of the Above,,14007
ANILKUMAR VASANTBHAI VAGHELA,Bahujan Samaj Party,lost,9600
BHITORA BHAVESHKUMAR CHIMANLAL,Gujarat Loktantra Party,lost,2458
SHANKARBHAI KHUSHALBHAI RATHOD,Democratic Bharatiya Samaj Party,lost,2389
VEDUBHAI KAUTIKBHAI SIRASAT,Jan Sewa Driver Party,lost,1221
NILESH DNYANDEV LANKE,Nationalist Congress Party – Sharadchandra Pawar,won,624797
DR. SUJAY RADHAKRISHNA VIKHEPATIL,Bharatiya Janata Party,lost,595868
ALEKAR GORAKH DASHRATH,Independent,lost,44597
DEELIP KONDIBA KHEDKAR,Vanchit Bahujan  Aaghadi,lost,13749
AMOL VILAS PACHUNDKAR,Independent,lost,5493
BHAGWAT DHONDIBA GAIKWAD,Samata Party,lost,4944
UMASHANKAR SHYAMBABU YADAV,Bahujan Samaj Party,lost,4539
ADV. JAMIR SHAIKH,Independent,lost,3935
AARTI KISHORKUMAR HALDAR,Prabuddha Republican Party,lost,3799
NOTA,None of the Above,,3282
NAVSHAD MUNSILAL SHAIKH,Independent,lost,2226
SURYABHAN (ALIAS SURESH) DATTATRAYA LAMBE,Independent,lost,2092
KALIRAM BAHIRU POPALGHAT,Bhartiya Navjawan Sena (Paksha),lost,1981
GAVADE MACCHINDRA RADHAKISAN,Independent,lost,1941
PRAVIN SUBHASH DALVI,Independent,lost,1898
MADAN KANIFNATH SONVANE,Right to Recall Party,lost,1451
DR. KAILASH NIVRUTTI JADHAV,Maharashtra Vikas Aghadi,lost,1435
KOTHARI RAVINDRA LILACHAND,Rashtriya Janmanch (Secular),lost,1333
ADV. SHIVAJIRAO WAMAN DAMALE (EX. SGT OF IAF),Sainik Samaj Party,lost,1104
GANGADHAR HARIBHAU KOLEKAR,Independent,lost,1059
DATTATRAY APPA WAGHMODE,Rashtriya Jankranti Party,lost,873
WABLE BHAUSAHEB BAPURAO,Bharatheeya Jawan Kisan Party,lost,801
SHEKATKAR ANIL GANPAT,Independent,lost,702
ADV. MAHENDRA DADASAHEB SHINDE,Independent,lost,675
BILAL GAFUR SHAIKH,Independent,lost,531
RAOSAHEB SHANKAR KALE,Independent,lost,372
BHAGIRATH CHOUDHARY,Bharatiya Janata Party,won,747462
RAMCHANDRA CHOUDHARY,Indian National Congress,lost,417471
NOTA,None of the Above,,11402
RAMDEV,Bahujan Samaj Party,lost,4944
SURENDRA SINGH RANAVAT,Independent,lost,4373
MUKESH GENA,Bharatiya Yuva Jan Ekta Party,lost,3196
JITENDRA BOYAT,Aazad Samaj Party (Kanshi Ram),lost,2633
SATYANARAYAN MALI,Independent,lost,2420
VISHRAM BABU,Independent,lost,1524
SHABUDADIN,National Future Party,lost,1197
PREM LATA,Independent,lost,1155
YUSUF,Independent,lost,1000
BHAWARLAL SONI,Independent,lost,938
RAMLAL,Akhil Bhartiya Aamjan Party,lost,818
DAYA MOHAN GARG,Independent,lost,646
DEVENDRA SINGH ALIAS BHOLE SINGH,Bharatiya Janata Party,won,517423
RAJARAM PAL,Samajwadi Party,lost,473078
RAJESH KUMAR DWIVEDI,Bahujan Samaj Party,lost,73140
NOTA,None of the Above,,7649
RAJARAM,Independent,lost,4642
ASHOK PASWAN ADVOCATE,Sabhi Jan Party,lost,3173
CHANDRESH SINGH,Bhartiya Shakti Chetna Party,lost,2654
YOGESH JAISWAL,Independent,lost,2543
VIPIN KUMAR,Rashtriya Sanskriti Party,lost,1494
RAMGOPAL,Rashtriya Janutthan Party,lost,1157
ANUP SANJAY DHOTRE,Bharatiya Janata Party,won,457030
ABHAY KASHINATH PATIL,Indian National Congress,lost,416404
AMBEDKAR PRAKASH YASHWANT,Vanchit Bahujan  Aaghadi,lost,276747
NOTA,None of the Above,,5783
ADV NAJIB SHAIKH,Indian National League,lost,3300
KASHINATH VISHWANATH DHAMODE,Bahujan Samaj Party,lost,2760
MURLIDHAR LALSING PAWAR,Independent,lost,2066
ADHAU RAVIKANT RAMKRUSHNA,Jay Vidarbha Party,lost,1734
AACHARYADIP SUBHASHCHANDRA GANOJE,Independent,lost,1618
UJWALA VINAYAK RAUT,Independent,lost,1306
DHARMENDRA CHANDRAPRAKASH KOTHARI,Independent,lost,1240
DILIP SHATRUGHAN MHAISANE,Independent,lost,862
ASHOK KISANRAO THORAT,Independent,lost,581
MOHMMAD AJAZ MOHMMAD TAHER,Azad Adhikar Sena,lost,568
BABAN MAHADEV SAYAM,Janseva Gondwana Party,lost,537
PRITI PRAMOD SADANSHIV,Republican Party of India (Social),lost,536
K. C VENUGOPAL,Indian National Congress,won,404560
A. M ARIFF,Communist Party of India  (Marxist),lost,341047
SOBHA SURENDRAN,Bharatiya Janata Party,lost,299648
NOTA,None of the Above,,7365
MURALEEDHARAN KONCHERILLAM,Bahujan Samaj Party,lost,1626
ARJUNAN,Socialist Unity Centre Of India (COMMUNIST),lost,1319
ADV.K.M SHAJAHAN,Independent,lost,682
VAYALAR RAJEEVAN,Bahujan Dravida Party,lost,675
SHAJAHAN V.A.     S/O ABDUL AZEES,Independent,lost,576
SATHEESH SHENOI,Independent,lost,482
JAYAKRISHNAN P,Independent,lost,385
JYOTHI ABRAHAM,Independent,lost,338
K.RADHAKRISHNAN,Communist Party of India  (Marxist),won,403447
RAMYA HARIDAS,Indian National Congress,lost,383336
DR T N SARASU,Bharatiya Janata Party,lost,188230
NOTA,None of the Above,,12033
HARI ARUMBIL,Bahujan Samaj Party,lost,2871
KRISHNANKUTTY KUNISSERY,Independent,lost,2351
SATISH KUMAR GAUTAM,Bharatiya Janata Party,won,501834
BIJENDRA SINGH,Samajwadi Party,lost,486187
HITENDRA KUMAR ALIAS BUNTY UPADHYAY,Bahujan Samaj Party,lost,123929
NOTA,None of the Above,,4934
GYANI RAM,Independent,lost,3799
SATISH KUMAR,Independent,lost,3561
SATISH KUMAR,Swatantra Jantaraj Party,lost,1648
MANOJ KUMAR ALIAS MANOJ LODHI,Saman Adhikar Party,lost,1440
KESHAV DEV ALIAS PANDIT KESHAV DEV GAUTAM,Independent,lost,1319
SURENDRA,Moulik Adhikar Party,lost,1178
RAJESH KUMAR,Independent,lost,1056
DILEEP SHARMA AD.,Independent,lost,955
MAHESH CHANDRA SHARMA,Independent,lost,736
RAJ KUMAR,Rashtriya Shoshit Samaj Party,lost,412
MANOJ KUMAR SHARMA ADVOCATE,Loktantrik Janshakti Party,lost,378
MANOJ TIGGA,Bharatiya Janata Party,won,695314
PRAKASH CHIK BARAIK,All India Trinamool Congress,lost,619867
MILI ORAON,Revolutionary Socialist Party,lost,39709
NOTA,None of the Above,,21298
PARIMAL ORAON,Independent,lost,12584
ARJUN INDWAR,Independent,lost,11122
MUNIB NARJINARY,Bahujan Samaj Party,lost,6648
RAHUL MARAK,Kisan Mazdoor Sangharsh Party,lost,5695
CHANDAN ORAON,Socialist Unity Centre Of India (COMMUNIST),lost,2787
BINAY MURMU,North Bengal People’s Party,lost,2758
NRIPENDRA NARAYAN DEBKARJEE,Kamatapur People’s Party (United),lost,2055
BABITA BARA,Gana Suraksha Party,lost,1552
UJJWAL RAMAN SINGH,Indian National Congress,won,462145
NEERAJ TRIPATHI,Bharatiya Janata Party,lost,403350
RAMESH KUMAR PATEL,Bahujan Samaj Party,lost,49144
NOTA,None of the Above,,9952
GOPAL SWROOP JOSHI,Independent,lost,4248
AJEET KUMAR PATEL,Pragatisheel Samaj Party,lost,2642
MOOLNIWASI HEMRAJ SINGH,Peoples Party of India (Democratic),lost,2355
GEETA RANI SHARMA,Independent,lost,2197
HANSHRAJ KOL,Apna Dal (Kamerawadi),lost,2141
RAJENDRA PRASAD PRAJAPATI,Bhagidari Party(P),lost,1847
AVANEESH KUMAR,Independent,lost,1835
ANUJ SWAROOP SHUKLA,Independent,lost,1616
SHIV PRASAD VISHWAKARMA,Samyak Party,lost,1326
SARVAJEET SINGH,Kamera Samaj Party,lost,1177
RAJDHAR SINGH PATEL,Rashtriya Samaj Dal (R),lost,1025
AJAY TAMTA,Bharatiya Janata Party,won,429167
PRADEEP TAMTA,Indian National Congress,lost,195070
NOTA,None of the Above,,17019
NARAYAN RAM,Bahujan Samaj Party,lost,10075
KIRAN ARYA,Uttarakhand Parivartan Party,lost,5778
ARJUN PRASAD,Independent,lost,4707
DR PRAMOD KUMAR,Peoples Party of India (Democratic),lost,4457
ER JYOTI PRAKASH TAMTA,Bahujan Mukti Party,lost,2224
BHUPENDER YADAV,Bharatiya Janata Party,won,631992
LALIT YADAV,Indian National Congress,lost,583710
FAZAL HUSSAIN,Bahujan Samaj Party,lost,19287
NOTA,None of the Above,,5822
PARDEEP KUMAR,Sarv Samaj Party,lost,4362
VIVEK JAIN,Independent,lost,2438
RAMBABU SHARMA,Independent,lost,2232
AMIT GUPTA,Independent,lost,1389
CHHAGAN LAL,Independent,lost,1327
VISHVNATH KHINCHI,Hindustan Janta Party,lost,879
G M HARISH (BALAYOGI),Telugu Desam,won,796981
RAPAKA VARAPRASADA RAO,Yuvajana Sramika Rythu Congress Party,lost,454785
GOUTHAM JANGA,Indian National Congress,lost,15082
NOTA,None of the Above,,13518
DORABABU YALLA,Bahujan Samaj Party,lost,5388
KATRU NAGA BABU,Telugu Nava Garjana Party,lost,3741
VADDI LALITH KUMAR,Independent,lost,2977
MAKEY DAVY PRASAD,Independent,lost,2111
GUDE VENKATESWARULU,Independent,lost,1745
RAMESH JILLELLA,Jatiya Jana Sena Party,lost,872
YALANGI RAMESH,Jaibhim Rao Bharat Party,lost,740
GIDDI JNANA PRAKASA RAO,Republican Party of India,lost,726
MATHA KRISHNA,Pyramid Party of India,lost,719
YADLA RAJESH,Liberation Congress Party,lost,635
KAPA KALYAN,Republican Party of India (A),lost,581
PATHURI RAMESH,Peoples Party of India (Democratic),lost,505
VARUN CHAUDHRY,Indian National Congress,won,663657
BANTO KATARIA,Bharatiya Janata Party,lost,614621
PAWAN RANDHAWA,Bahujan Samaj Party,lost,23583
GURPREET SINGH,Indian National Lok Dal,lost,8986
KAMAL KUMAR BARARA,Aazad Samaj Party (Kanshi Ram),lost,8754
NOTA,None of the Above,,6452
KIRAN PUNIA,Jannayak Janta Party,lost,6092
RAKESH KUMAR,Haryana Jansena Party,lost,3111
BALJEET SINGH,Bharatheeya Jawan Kisan Party,lost,2502
MEHAR SINGH CHALIA,Ekam Sanatan Bharat Dal,lost,2397
GULAB SINGH NARWAL,Peoples Party of India (Democratic),lost,1690
SURAJ KUMAR,Bahujan Mukti Party,lost,1506
MOHAR SINGH STATION MASTER (RETD.),Independent,lost,1263
BETA MAM CHAND RATTUWALA,Bharatiya Yuva Jan Ekta Party,lost,1251
DR. NITESH CHOPRA (HONEY),Bhartiya Shakti Chetna Party,lost,857
LALJI VERMA,Samajwadi Party,won,544959
RITESH PANDEY,Bharatiya Janata Party,lost,407712
QAMAR HAYAT,Bahujan Samaj Party,lost,199499
NOTA,None of the Above,,7448
NEELAM SINGH,Moolniwasi Samaj Party,lost,4331
SHABANA KHATOON,Peace Party,lost,3990
JAVED AHMAD SIDDIQUI,Independent,lost,3860
RAM NARESH PRAJAPATI,Bhagidari Party(P),lost,3413
VIVEK KUMAR,Bhartiya Shakti Chetna Party,lost,1850
KISHORI LAL,Indian National Congress,won,539228
SMRITI IRANI,Bharatiya Janata Party,lost,372032
NANHE SINGH CHAUHAN,Bahujan Samaj Party,lost,34534
NOTA,None of the Above,,9383
SURENDRA KUMAR,Independent,lost,5699
DINESH CHANDRA MAURYA,Janshakti Samta Party,lost,4577
JAGDAMBA PRASAD YADAV,Independent,lost,4020
BHAGWANDIN PASI,Moulik Adhikar Party,lost,2334
CHANDRAWATI,Independent,lost,2291
MOHD HASAN LAHRI,Rashtriya Narayanwadi Vikas Party,lost,1527
KHUSHIRAM,Independent,lost,1401
UDAYRAJ,Independent,lost,1305
SANTRAM,Samajhdar Party,lost,1212
SHAILENDRA KUMAR MISHRA,Sanyogwadi Party,lost,1128
BALWANT BASWANT WANKHADE,Indian National Congress,won,526271
NAVNEET RAVI RANA,Bharatiya Janata Party,lost,506540
DINESH GANESHDAS BUB,Prahar Janshakti Party,lost,85300
ANANDRAJ YASHWANT AMBEDKAR,Republican Sena,lost,18793
KISHOR BHIMRAO LABADE,Independent,lost,4524
SANJAYKUMAR FATTESINGH GADGE,Bahujan Samaj Party,lost,4513
SUMITRA SAHEBRAO GAIKWAD,Independent,lost,2690
NOTA,None of the Above,,2544
ARUN YASHWANTRAO BHAGAT,Independent,lost,2088
KISHOR DNYANESHWAR TAYDE,Independent,lost,2072
SURAJ DHANRAJ NAGDVANE,Independent,lost,1818
GAUTAM ALIAS ANANTA RAMDAS INGALE,Independent,lost,1570
PRAMOD RAMKRUSHNA CHOURPAGAR,Independent,lost,1307
ANIL THAWARE ALIAS DR. ANILKUMAR NAGBUDDHA,Independent,lost,1206
SURESH PUNDLIK MESHRAM,Independent,lost,1052
SATISH YASHWANTRAO GEDAM,Independent,lost,943
MANOHAR KRUSHNAJI KURHADE,Independent,lost,871
DIGAMBAR WAMAN BHAGAT,Naki Bharatiya Ekta Party,lost,762
ENGI. AVINASH HARISHCHANDRA DHANAWATE,Peoples Party of India (Democratic),lost,730
HIMMAT BHIMRAO DHOLE,Independent,lost,670
SUSHAMA GAJANAN AWACHAR,Jay Vidarbha Party,lost,659
GANESH NANAJI RAMTEKE,Akhil Bhartiya Parivar Party,lost,629
MANKAR DNYANESHWAR KASHIRAO,Independent,lost,539
TARA SURESH WANKHADE,Independent,lost,527
SHRIKRUSHNA SAKHARAMJI KSHIRSAGAR,Independent,lost,510
ADV. RAJU MADHUKARRAO KALANE,Bahujan Bharat Party,lost,495
VARSHA BHAGAWANTRAO BHAGAT,Independent,lost,443
BHARAT CHAMPATRAO YANGAD,Independent,lost,441
NARENDRA BABULAL KATHANE,Desh Janhit Party,lost,422
PRABHAKAR PANDURANG BHATKAR,Independent,lost,365
ADV. PRUTHVISAMRAT MUKINDRAO DIPWANSH,Independent,lost,337
GHAZI SAADUDDIN ZAHEER AHMED,Rashtriya Ulama Council,lost,331
BHAURAO SAMPATRAO WANKHADE,All India Forward Bloc,lost,329
RAVI GUNWANTRAO WANKHADE,Independent,lost,288
SONALI SANJAY MESHRAM,Independent,lost,272
SANDEEP BABULAL MESHRAM,Independent,lost,257
RAJESH TULSHIRAM KHADE,Independent,lost,239
RAJU MAHADEVRAO SONONE,Independent,lost,232
BHARATBHAI MANUBHAI SUTARIYA,Bharatiya Janata Party,won,580872
JENNY THUMMAR,Indian National Congress,lost,259804
NOTA,None of the Above,,11349
CHAUHAN RAVAJIBHAI MULABHAI,Bahujan Samaj Party,lost,7543
SANKHAT VIKRAMBHAI VISABHAI,Global Republican Party,lost,5009
BAVKUBHAI AMARUBHAI VALA,Independent,lost,3777
BHAVESHBHAI JENTIBHAI RANK,Independent,lost,3671
PUNJABHAI BAVBHAI DAFDA,Independent,lost,2621
PRITESH CHAUHAN (LALU),Independent,lost,1780
GURJEET SINGH AUJLA,Indian National Congress,won,255181
KULDEEP SINGH DHALIWAL,Aam Aadmi Party,lost,214880
TARANJIT SINGH SANDHU SAMUNDRI,Bharatiya Janata Party,lost,207205
ANIL JOSHI,Shiromani Akali Dal,lost,162896
EMAAN SINGH MANN,Shiromani Akali Dal (Amritsar)(Simranjit Singh Mann),lost,26796
NOTA,None of the Above,,3714
SATBIR SINGH  JAMMU,Independent,lost,3399
VISHAL SIDHU,Bahujan Samaj Party,lost,2733
DASWINDER KAUR,Communist Party of India,lost,2481
SHARANJIT KAUR,Independent,lost,2460
AMANPREET SINGH MAHADIPUR,Independent,lost,2362
GURINDER SINGH SABHI GILL,Independent,lost,2129
SAHIB SINGH,Independent,lost,1988
SHAMSHER SINGH SHERA,Independent,lost,1507
SHAM LAL GANDHI,Independent,lost,1487
LOVEPREET SHARMA,Aas Punjab Party,lost,1375
MASTER HARJINDER PAL,Independent,lost,1358
JASPAL MASIH,Independent,lost,1227
RESHAM SINGH,Independent,lost,1133
BAL KRISHAN SHARMA,Independent,lost,1107
SIMRANPREET SINGH,Independent,lost,1106
NARINDER KAUR,Aam Janta Party (India),lost,1097
DILDAR MASIH,Shiromani Lok Dal Party,lost,1044
RAJINDER KUMAR SHARMA,Independent,lost,900
BALWINDER SINGH,Independent,lost,857
GURPREET SINGH RATTAN,Republican Party of India (Athawale),lost,738
DR RAMESH KUMAR,Sacho Sach Party,lost,652
GAGANDEEP,Independent,lost,610
PRITHVI PAL,Independent,lost,434
NEELAM,Independent,lost,409
DILBAGH SINGH,Independent,lost,391
KANWAR SINGH TANWAR,Bharatiya Janata Party,won,476506
KUNWAR DANISH ALI,Indian National Congress,lost,447836
MUJAHID HUSAIN,Bahujan Samaj Party,lost,164099
NOTA,None of the Above,,5900
DHANISH,Independent,lost,3617
SURESH,Independent,lost,2717
JEETPAL RANA,Independent,lost,2556
SUHEL HAIDER,Akhil Bhartiya Parivar Party,lost,2504
NARENDRA SINGH,Independent,lost,1779
NAEEMUDDIN,Independent,lost,1004
KUSHAGRA,Independent,lost,858
KASHIF HUSAIN,Independent,lost,679
KUMDESH KUMAR,Independent,lost,635
